command,ordinalStart,ordinalEnd,x,y
map,0,0,17,36
map,1,2,17,34
map,3,3,18,34
map,4,5,18,36
map,6,6,20,36
map,7,8,20,34
map,9,9,23,34
map,10,12,23,37
map,13,13,24,37
map,14,16,24,34
map,17,17,25,34
map,18,21,25,38
map,22,22,27,38
map,23,26,27,34
map,27,27,28,34
map,28,33,28,40
map,34,34,29,40
map,35,40,29,34
map,41,41,30,34
map,42,49,30,42
map,50,50,31,42
map,51,58,31,34
map,59,59,32,34
map,60,70,32,45
map,71,71,33,45
map,72,82,33,34
map,83,83,34,34
map,84,95,34,46
map,96,96,35,46
map,97,108,35,34
map,109,109,36,34
map,110,122,36,47
map,123,123,37,47
map,124,137,37,33
map,138,138,38,33
map,139,153,38,48
map,154,154,39,48
map,155,169,39,33
map,170,170,40,33
map,171,187,40,50
map,188,188,41,50
map,189,205,41,33
map,206,206,42,33
map,207,224,42,51
map,225,225,43,51
map,226,241,43,35
missing,242,242,0,0
map,243,243,43,34
missing,244,244,0,0
map,245,245,44,33
map,246,264,44,52
map,265,265,45,52
map,266,285,45,32
map,286,286,46,32
map,287,306,46,52
map,307,307,47,52
map,308,327,47,32
map,328,328,48,32
map,329,349,48,53
map,350,350,49,53
map,351,371,49,32
missing,372,373,0,0
map,374,374,50,32
map,375,396,50,54
map,397,397,51,54
map,398,419,51,32
missing,420,421,0,0
map,422,422,52,32
map,423,445,52,55
map,446,446,53,55
map,447,470,53,31
map,471,471,54,31
map,472,495,54,55
map,496,496,55,55
map,497,520,55,31
map,521,521,56,31
map,522,546,56,56
map,547,547,57,56
map,548,572,57,31
map,573,573,58,31
map,574,598,58,56
map,599,599,59,56
map,600,624,59,31
missing,625,626,0,0
map,627,627,60,31
map,628,652,60,56
map,653,653,61,56
map,654,678,61,31
missing,679,680,0,0
map,681,681,64,31
map,682,706,64,56
map,707,707,65,56
map,708,733,65,30
map,734,734,66,30
map,735,760,66,56
map,761,761,68,56
map,762,787,68,30
map,788,788,69,30
map,789,814,69,56
map,815,815,70,56
map,816,841,70,30
map,842,842,71,30
map,843,849,71,37
