command,ordinalStart,ordinalEnd,x,y
map,0,0,14,7
map,1,3,14,10
map,4,4,14,12
map,5,8,14,16
map,9,9,15,16
map,10,13,15,12
map,14,14,15,10
map,15,18,15,6
map,19,19,16,6
map,20,28,16,15
map,29,29,17,15
map,30,38,17,6
map,39,39,19,6
map,40,46,19,13
map,47,47,21,13
map,48,55,21,5
map,56,56,24,5
map,57,63,24,12
map,64,64,25,12
map,65,71,25,5
map,72,72,26,5
map,73,80,26,13
map,81,81,28,13
map,82,89,28,5
map,90,90,29,5
map,91,99,29,14
map,100,100,30,14
map,101,111,30,3
map,112,112,31,3
map,113,123,31,14
map,124,124,32,14
map,125,136,32,2
map,137,137,33,2
map,138,149,33,14
map,150,150,34,14
map,151,162,34,2
map,163,163,35,2
map,164,176,35,15
map,177,177,36,15
map,178,191,36,1
map,192,192,37,1
map,193,207,37,16
map,208,208,38,16
map,209,223,38,1
map,224,224,39,1
map,225,241,39,18
map,242,242,40,18
map,243,259,40,1
map,260,260,41,1
map,261,275,41,16
map,276,276,42,16
map,277,291,42,1
map,292,292,43,1
map,293,307,43,16
map,308,308,44,16
map,309,323,44,1
map,324,324,45,1
map,325,339,45,16
map,340,340,46,16
map,341,355,46,1
map,356,356,47,1
map,357,371,47,16
map,372,372,48,16
map,373,387,48,1
map,388,388,49,1
map,389,399,49,12
missing,400,401,0,0
map,402,402,49,13
map,403,406,49,17
map,407,407,50,17
map,408,423,50,1
map,424,424,51,1
map,425,435,51,12
map,436,436,52,12
map,437,447,52,1
map,448,448,53,1
map,449,459,53,12
map,460,460,54,12
map,461,471,54,1
map,472,472,55,1
map,473,483,55,12
map,484,484,56,12
map,485,495,56,1
map,496,496,57,2
map,497,508,57,14
map,509,509,58,14
map,510,521,58,2
map,522,522,59,2
map,523,537,59,17
map,538,538,60,17
map,539,553,60,2
map,554,554,61,2
map,555,570,61,18
map,571,571,62,18
map,572,587,62,2
map,588,588,65,2
map,589,605,65,19
map,606,606,66,19
map,607,622,66,3
map,623,623,67,3
map,624,632,67,12
map,633,633,69,12
map,634,641,69,4
map,642,642,70,4
map,643,650,70,12
map,651,651,71,11
map,652,658,71,4
map,659,659,72,5
map,660,669,72,15
map,670,670,73,15
map,671,679,73,6
map,680,680,75,6
map,681,690,75,16
map,691,691,76,16
map,692,700,76,7
map,701,701,81,16
map,702,714,81,29
map,715,715,82,29
map,716,735,82,9
map,736,736,83,9
map,737,756,83,29
map,757,757,84,29
map,758,775,84,11
map,776,776,85,11
map,777,794,85,29
map,795,795,86,29
map,796,812,86,12
map,813,813,87,12
map,814,832,87,31
map,833,833,88,31
map,834,851,88,13
map,852,852,90,13
map,853,869,90,30
map,870,870,91,30
map,871,885,91,15
map,886,886,92,15
map,887,899,92,28
map,900,900,93,28
map,901,911,93,17
map,912,912,94,17
map,913,922,94,27
map,923,923,95,27
map,924,931,95,19
map,932,932,96,19
map,933,938,96,25
map,939,939,97,25
map,940,943,97,21
map,944,944,98,21
map,945,947,98,24
map,948,948,100,24
map,949,949,100,23
