command,ordinalStart,ordinalEnd,x,y
missing,0,20,0,0
map,21,21,1,27
map,22,26,1,22
map,27,27,2,22
map,28,33,2,28
map,34,34,3,28
map,35,40,3,22
map,41,41,4,22
map,42,53,4,34
map,54,54,6,34
map,55,69,6,19
map,70,70,8,19
map,71,78,8,27
map,79,79,9,27
map,80,85,9,33
map,86,86,10,33
map,87,91,10,28
missing,92,92,0,0
map,93,93,10,27
map,94,101,10,19
map,102,102,10,19
map,103,110,10,11
map,111,111,11,11
map,112,119,11,19
missing,120,120,0,0
map,121,121,11,20
map,122,126,11,25
map,127,127,11,27
missing,128,128,0,0
map,129,129,11,28
map,130,134,11,33
map,135,135,12,33
map,136,157,12,11
map,158,158,12,9
map,159,160,12,7
map,161,161,13,7
map,162,163,13,9
map,184,184,13,31
map,185,185,13,33
map,186,186,13,33
map,187,187,14,34
map,188,188,14,32
map,189,209,14,11
map,210,210,14,9
map,211,213,14,6
map,214,214,15,6
map,215,217,15,9
map,218,218,15,11
map,219,240,15,33
map,241,241,16,34
map,242,242,16,32
map,243,253,16,21
map,254,254,17,21
map,255,264,17,31
map,265,265,18,31
map,266,274,18,22
map,275,275,19,22
map,276,283,19,30
map,284,284,20,30
map,285,292,20,22
map,293,293,21,22
map,294,301,21,30
map,302,302,22,30
map,303,310,22,22
map,311,311,23,22
map,312,320,23,31
map,321,321,24,31
map,322,336,24,16
map,337,337,25,16
map,338,348,25,27
missing,349,349,0,0
map,350,350,25,28
map,351,353,25,31
map,354,354,27,31
map,355,369,27,16
map,370,370,28,16
map,371,385,28,31
map,386,386,29,31
map,387,399,29,18
map,400,400,31,18
map,401,413,31,31
map,414,414,32,31
map,415,423,32,22
map,424,424,33,22
map,425,433,33,31
map,434,434,34,31
map,435,442,34,23
map,443,443,35,23
map,444,451,35,31
map,452,452,36,31
map,453,459,36,24
map,460,460,38,24
map,461,467,38,31
map,468,468,39,31
map,469,484,39,15
map,485,485,40,15
map,486,501,40,31
map,502,502,41,31
map,503,518,41,15
map,519,519,42,15
map,520,535,42,31
map,536,536,43,31
map,537,552,43,15
map,553,553,44,15
map,554,569,44,31
map,570,570,45,31
map,571,571,45,30
map,572,572,45,16
map,573,587,45,31
map,588,588,46,31
map,589,604,46,15
map,605,605,47,15
map,606,621,47,31
map,622,622,48,31
map,623,635,48,18
map,636,636,49,18
map,637,649,49,31
map,650,650,50,31
map,651,660,50,21
map,661,661,52,21
map,662,671,52,31
map,672,672,53,31
map,673,682,53,21
map,683,683,54,21
map,684,693,54,31
map,694,694,55,31
map,695,708,55,17
map,709,709,56,17
map,710,723,56,31
map,724,724,57,31
map,725,739,57,16
map,740,740,58,16
map,741,753,58,29
map,754,754,59,29
map,755,767,59,16
map,768,768,60,16
map,769,781,60,29
map,782,782,61,29
map,783,795,61,16
map,796,796,62,16
map,797,809,62,29
map,810,810,63,29
map,811,823,63,16
map,824,824,64,16
map,825,837,64,29
map,838,838,65,29
map,839,850,65,17
map,851,851,66,17
map,852,863,66,29
map,864,864,67,29
map,865,874,67,19
map,875,875,68,19
map,876,885,68,29
map,886,886,69,29
map,887,894,69,21
map,895,895,70,21
map,896,903,70,29
map,904,904,71,29
map,905,911,71,22
map,912,912,72,22
map,913,919,72,29
map,920,920,73,29
map,921,928,73,21
map,929,929,74,21
map,930,937,74,29
map,938,938,75,29
map,939,960,75,7
map,961,961,76,7
map,962,971,76,17
