command,ordinalStart,ordinalEnd,x,y
map,0,0,70,52
map,1,5,70,57
map,6,6,71,57
map,7,31,71,32
map,32,32,72,32
map,33,57,72,57
map,58,58,73,57
map,59,83,73,32
map,84,84,74,32
map,85,108,74,56
map,109,109,75,56
map,110,131,75,34
missing,132,132,0,0
map,136,136,76,35
map,137,156,76,55
map,157,157,77,55
map,158,178,77,34
map,179,179,78,34
map,180,200,78,55
map,201,201,80,55
map,202,222,80,34
map,223,223,81,34
map,224,243,81,54
map,244,244,82,54
map,245,264,82,34
map,265,265,83,34
map,266,285,83,54
map,286,286,84,54
map,287,306,84,34
map,307,307,85,34
map,308,326,85,53
map,327,327,86,53
map,328,334,86,46
map,335,335,87,46
map,336,341,87,52
map,342,342,88,52
map,343,348,88,46
missing,349,349,0,0
map,350,350,89,47
map,351,354,89,51
map,355,355,90,51
map,356,358,90,48
missing,359,359,0,0
map,399,399,86,34
map,400,409,86,44
map,410,410,87,44
map,411,420,87,34
map,421,421,88,34
map,422,432,88,45
map,433,433,89,45
map,434,444,89,34
map,445,445,90,34
map,446,457,90,46
map,458,458,91,46
map,459,470,91,34
map,471,471,92,34
map,472,485,92,48
map,486,486,93,48
map,487,500,93,34
map,501,501,94,34
map,502,514,94,47
map,515,515,95,47
map,516,528,95,34
map,529,529,96,34
map,530,542,96,47
map,543,543,97,47
map,544,556,97,34
map,557,557,98,34
map,558,570,98,47
map,571,571,99,47
map,572,584,99,34
map,585,585,100,34
map,586,598,100,47
map,599,599,101,47
map,600,612,101,34
map,613,613,102,34
map,614,626,102,47
map,627,627,103,47
map,628,640,103,34
map,641,641,104,34
map,642,654,104,47
map,655,655,105,47
map,656,672,105,30
map,673,673,106,30
map,674,690,106,47
