command,ordinalStart,ordinalEnd,x,y
map,0,0,71,38
map,1,18,71,56
map,19,19,72,56
map,20,44,72,31
missing,45,47,0,0
map,48,48,73,32
map,49,72,73,56
map,73,73,74,56
map,74,97,74,32
missing,98,102,0,0
map,103,103,75,33
map,104,125,75,55
map,126,126,76,55
map,127,149,76,32
map,150,150,77,32
map,151,173,77,55
map,174,174,78,55
map,175,198,78,31
map,199,199,79,31
map,200,223,79,55
map,224,224,81,55
map,225,249,81,30
map,250,250,82,30
map,251,274,82,54
map,275,275,83,54
map,276,299,83,30
map,300,300,84,30
map,301,323,84,53
map,324,324,85,53
map,325,345,85,32
map,346,346,86,32
missing,347,347,0,0
map,348,348,86,34
map,349,368,86,54
map,369,369,87,52
map,370,388,87,33
map,389,389,88,33
map,390,406,88,50
map,407,407,89,50
map,408,424,89,33
map,425,425,90,33
map,426,440,90,48
map,441,441,91,48
map,442,457,91,32
map,458,458,92,32
map,459,474,92,48
map,475,475,93,48
map,476,491,93,32
map,492,492,94,32
map,493,508,94,48
map,509,509,95,48
map,510,525,95,32
map,526,526,96,32
map,527,542,96,48
map,543,543,97,48
map,544,559,97,32
map,560,560,98,32
map,561,577,98,49
map,578,578,99,49
map,579,595,99,32
map,596,596,100,32
map,597,613,100,49
map,614,614,101,49
map,615,631,101,32
map,632,632,102,32
map,633,649,102,49
map,650,650,103,49
map,651,665,103,34
