command,ordinalStart,ordinalEnd,x,y
map,0,0,23,33
map,1,1,24,33
map,2,6,24,38
map,7,7,25,38
map,8,12,25,33
map,13,13,27,33
map,14,20,27,40
map,21,21,28,40
map,22,28,28,33
map,29,29,29,33
map,30,38,29,42
map,39,39,31,42
map,40,48,31,33
map,49,49,32,33
map,50,60,32,44
map,61,61,33,44
map,62,72,33,33
map,73,73,34,33
map,74,85,34,45
map,86,86,35,45
map,87,98,35,33
map,99,99,36,33
map,100,112,36,46
map,113,113,37,46
map,114,126,37,33
map,127,127,38,33
map,128,142,38,48
map,143,143,39,48
map,144,158,39,33
map,159,159,40,33
map,160,175,40,49
map,176,176,41,49
map,177,192,41,33
map,193,193,43,33
map,194,210,43,50
map,211,211,44,50
map,212,226,44,35
map,227,227,45,35
map,228,243,45,51
map,244,244,46,51
map,245,262,46,33
map,263,263,47,33
map,264,282,47,52
map,283,283,48,52
map,284,302,48,33
map,303,303,49,33
map,304,323,49,53
map,324,324,50,53
map,325,344,50,33
map,345,345,52,33
map,346,365,52,53
map,366,366,53,53
map,367,386,53,33
map,387,387,54,33
map,388,408,54,54
map,409,409,55,54
map,410,430,55,33
map,431,431,56,33
map,432,452,56,54
map,453,453,57,54
map,454,475,57,32
map,476,476,58,32
map,477,499,58,55
map,500,500,59,55
map,501,523,59,32
map,524,524,60,32
map,525,547,60,55
map,548,548,61,55
map,549,571,61,32
map,572,572,62,32
map,573,596,62,56
map,597,597,63,56
map,598,621,63,32
map,622,622,64,32
map,623,646,64,56
map,647,647,65,56
map,648,671,65,32
map,672,672,66,32
map,673,698,66,58
map,699,699,67,58
map,700,725,67,32
map,726,726,68,32
map,727,752,68,58
map,753,753,69,58
map,754,779,69,32
map,780,780,70,32
map,781,799,70,51
